Cell_ID,true_label,canonical_fold,true_family,sni_pred,m0_pred,m1_pred,m2_pred,m0_correct,m1_correct,m2_correct,m1_agrees_sni,m2_agrees_sni,m1_equals_m0,m2_equals_m0
2707604700225200059,oligodendrocyte_progenitor_2,4,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,False,False,False,False,False,True,True
2656144900140100117,oligodendrocyte_progenitor_2,3,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,False,False,False,False,False,True,True
2795903600057100037,alpha_motoneuron,3,neuronal_or_other,alpha_motoneuron,beta_motoneuron,beta_motoneuron,beta_motoneuron,False,False,False,False,False,True,True
2707737900144100133,oligodendrocyte_progenitor_2,3,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_2,oligodendrocyte_2,oligodendrocyte_2,False,False,False,False,False,True,True
2726544600431100024,MV_in_Gm26673,4,neuronal_or_other,MV_in_Gm26673,MV_in_Chrna2,MV_in_Chrna2,MV_in_Chrna2,False,False,False,False,False,True,True
2795584800081100241,oligodendrocyte_progenitor_2,2,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,False,False,False,False,False,True,True
2796212800561100084,oligodendrocyte_progenitor_2,2,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,False,False,False,False,False,True,True
2787889600580100057,DH_ex_Prkcg/Nts,0,neuronal_or_other,DH_ex_Prkcg/Nts,DH_ex_Tac2,DH_ex_Tac2,DH_ex_Tac2,False,False,False,False,False,True,True
2945606900000011838,meninges_3,4,meningeal,meninges_3,meninges_1,meninges_1,meninges_1,False,False,False,False,False,True,True
2787445900462100125,oligodendrocyte_progenitor_2,2,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,False,False,False,False,False,True,True
2707604800342100056,oligodendrocyte_progenitor_2,1,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_2,oligodendrocyte_2,oligodendrocyte_2,False,False,False,False,False,True,True
2787889600315100058,oligodendrocyte_progenitor_2,4,oligodendrocyte_opc,oligodendrocyte_progenitor_2,astrocyte_1,astrocyte_1,astrocyte_1,False,False,False,False,False,True,True
2787445900328100064,oligodendrocyte_progenitor_2,4,oligodendrocyte_opc,oligodendrocyte_progenitor_2,astrocyte_2,astrocyte_2,astrocyte_2,False,False,False,False,False,True,True
2795903600320100064,oligodendrocyte_progenitor_2,2,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,False,False,False,False,False,True,True
2787889600355100079,oligodendrocyte_progenitor_2,0,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_2,astrocyte_2,oligodendrocyte_2,False,False,False,False,False,False,True
2796212800715100159,oligodendrocyte_progenitor_2,2,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,False,False,False,False,False,True,True
2795903600563100287,DH_ex_Prkcg/Nts,3,neuronal_or_other,DH_ex_Prkcg/Nts,DH_ex_Prkcg/Cck,DH_ex_Prkcg/Cck,DH_ex_Prkcg/Cck,False,False,False,False,False,True,True
2795584800451100007,microglia,2,microglia,microglia,oligodendrocyte_2,astrocyte_2,astrocyte_2,False,False,False,False,False,False,False
2707604000124100020,astrocyte_1,1,astrocyte,astrocyte_1,oligodendrocyte_progenitor_1,oligodendrocyte_progenitor_1,oligodendrocyte_progenitor_1,False,False,False,False,False,True,True
2787445900053200095,astrocyte_1,1,astrocyte,astrocyte_1,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,False,False,False,False,False,True,True
2726543700099100133,oligodendrocyte_progenitor_2,1,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,False,False,False,False,False,True,True
2945606900000014812,oligodendrocyte_progenitor_2,4,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,False,False,False,False,False,True,True
2787889600197100027,oligodendrocyte_progenitor_2,3,oligodendrocyte_opc,oligodendrocyte_progenitor_2,astrocyte_2,astrocyte_2,astrocyte_2,False,False,False,False,False,True,True
2787445900328100174,oligodendrocyte_progenitor_2,0,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_2,oligodendrocyte_2,oligodendrocyte_2,False,False,False,False,False,True,True
2787889600351100169,pericyte,1,vascular,pericyte,endothelial,endothelial,endothelial,False,False,False,False,False,True,True
2946331700000020347,oligodendrocyte_progenitor_2,4,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,False,False,False,False,False,True,True
2656143800153100155,oligodendrocyte_progenitor_2,2,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,False,False,False,False,False,True,True
2796212800913100297,oligodendrocyte_progenitor_2,4,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,False,False,False,False,False,True,True
2707604800035200013,pericyte,4,vascular,pericyte,oligodendrocyte_1,pericyte,astrocyte_1,False,True,False,True,False,False,False
